bike_age,kms_clipped,power_bhp_clipped,mileage_kmpl_clipped,cc,owner_first,owner_fourth_or_more,owner_second,owner_third,brand_Bajaj,brand_Benelli,brand_Harley-Davidson,brand_Hero,brand_Honda,brand_Hyosung,brand_Jawa,brand_Kawasaki,brand_Ktm,brand_Other,brand_Royal,brand_Suzuki,brand_Triumph,brand_Tvs,brand_Um,brand_Yamaha,price
8,40000.0,27.2,25.0,500.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,150500
6,30.0,18.0,30.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,130000
4,185.0,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,127500
4,956.0,7.91,55.0,100.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,73000
10,84.0,8.25,84.0,110.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,31000
6,28700.0,19.8,,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,170000
4,8300.0,17.03,40.0,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,120000
7,9097.0,19.0,53.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70000
8,15950.0,14.3,45.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,67500
7,17000.0,20.3,43.0,250.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,98500
12,22605.0,13.0,45.0,150.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,35000
11,20372.0,15.2,,160.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,42000
10,55.0,8.25,55.0,110.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,37500
12,23000.0,8.2,5.0,100.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34000
10,5800.0,19.8,37.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,110000
10,25000.0,27.2,32.0,500.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,125000
9,25000.0,8.2,5.0,100.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,18750
10,15671.0,16.7,42.0,150.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,65000
4,1300.0,19.1,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,207500
5,2500.0,29.63,31.85,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,202312
7,22000.0,24.5,32.0,410.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,175000
